Year,Department or agency,Age band,Number of employees
2023,Canada Energy Regulator,20-24,*
2023,Canada Energy Regulator,25-29,23
2023,Canada Energy Regulator,30-34,38
2023,Canada Energy Regulator,35-39,68
2023,Canada Energy Regulator,40-44,109
2023,Canada Energy Regulator,45-49,96
2023,Canada Energy Regulator,50-54,99
2023,Canada Energy Regulator,55-59,62
2023,Canada Energy Regulator,60-64,54
2023,Canada Energy Regulator,65+,*
2023,Canada Energy Regulator Total,Total,572
2023,Canada Revenue Agency,<20,152
2023,Canada Revenue Agency,20-24,3020
2023,Canada Revenue Agency,25-29,7072
2023,Canada Revenue Agency,30-34,7621
2023,Canada Revenue Agency,35-39,7731
2023,Canada Revenue Agency,40-44,8161
2023,Canada Revenue Agency,45-49,7373
2023,Canada Revenue Agency,50-54,7027
2023,Canada Revenue Agency,55-59,5905
2023,Canada Revenue Agency,60-64,3400
2023,Canada Revenue Agency,65+,1557
2023,Canada Revenue Agency Total,Total,59019
2023,Canada School of Public Service,<20,*
2023,Canada School of Public Service,20-24,36
2023,Canada School of Public Service,25-29,97
2023,Canada School of Public Service,30-34,85
2023,Canada School of Public Service,35-39,110
2023,Canada School of Public Service,40-44,122
2023,Canada School of Public Service,45-49,119
2023,Canada School of Public Service,50-54,83
2023,Canada School of Public Service,55-59,50
2023,Canada School of Public Service,60-64,28
2023,Canada School of Public Service,65+,*
2023,Canada School of Public Service Total,Total,742
2023,Canadian Dairy Commission,20-24,*
2023,Canadian Dairy Commission,25-29,9
2023,Canadian Dairy Commission,30-34,12
2023,Canadian Dairy Commission,35-39,12
2023,Canadian Dairy Commission,40-44,9
2023,Canadian Dairy Commission,45-49,9
2023,Canadian Dairy Commission,50-54,7
2023,Canadian Dairy Commission,55-59,8
2023,Canadian Dairy Commission,60-64,*
2023,Canadian Dairy Commission,65+,*
2023,Canadian Dairy Commission Total,Total,73
2023,Canadian Food Inspection Agency,<20,15
2023,Canadian Food Inspection Agency,20-24,300
2023,Canadian Food Inspection Agency,25-29,575
2023,Canadian Food Inspection Agency,30-34,641
2023,Canadian Food Inspection Agency,35-39,800
2023,Canadian Food Inspection Agency,40-44,1174
2023,Canadian Food Inspection Agency,45-49,1185
2023,Canadian Food Inspection Agency,50-54,952
2023,Canadian Food Inspection Agency,55-59,725
2023,Canadian Food Inspection Agency,60-64,383
2023,Canadian Food Inspection Agency,65+,179
2023,Canadian Food Inspection Agency Total,Total,6929
2023,Canadian Grain Commission,20-24,10
2023,Canadian Grain Commission,25-29,42
2023,Canadian Grain Commission,30-34,45
2023,Canadian Grain Commission,35-39,64
2023,Canadian Grain Commission,40-44,73
2023,Canadian Grain Commission,45-49,64
2023,Canadian Grain Commission,50-54,69
2023,Canadian Grain Commission,55-59,45
2023,Canadian Grain Commission,60-64,30
2023,Canadian Grain Commission,65+,11
2023,Canadian Grain Commission Total,Total,453
2023,Canadian Heritage,<20,*
2023,Canadian Heritage,20-24,53
2023,Canadian Heritage,25-29,196
2023,Canadian Heritage,30-34,217
2023,Canadian Heritage,35-39,230
2023,Canadian Heritage,40-44,354
2023,Canadian Heritage,45-49,357
2023,Canadian Heritage,50-54,275
2023,Canadian Heritage,55-59,178
2023,Canadian Heritage,60-64,76
2023,Canadian Heritage,65+,*
2023,Canadian Heritage Total,Total,1975
2023,Canadian Human Rights Commission,<20,7
2023,Canadian Human Rights Commission,20-24,19
2023,Canadian Human Rights Commission,25-29,31
2023,Canadian Human Rights Commission,30-34,38
2023,Canadian Human Rights Commission,35-39,43
2023,Canadian Human Rights Commission,40-44,37
2023,Canadian Human Rights Commission,45-49,41
2023,Canadian Human Rights Commission,50-54,27
2023,Canadian Human Rights Commission,55-59,27
2023,Canadian Human Rights Commission,60-64,19
2023,Canadian Human Rights Commission,65+,8
2023,Canadian Human Rights Commission Total,Total,297
2023,Canadian Institutes of Health Research,<20,*
2023,Canadian Institutes of Health Research,20-24,46
2023,Canadian Institutes of Health Research,25-29,79
2023,Canadian Institutes of Health Research,30-34,76
2023,Canadian Institutes of Health Research,35-39,88
2023,Canadian Institutes of Health Research,40-44,110
2023,Canadian Institutes of Health Research,45-49,79
2023,Canadian Institutes of Health Research,50-54,69
2023,Canadian Institutes of Health Research,55-59,39
2023,Canadian Institutes of Health Research,60-64,17
2023,Canadian Institutes of Health Research,65+,*
2023,Canadian Institutes of Health Research Total,Total,614
2023,Canadian Intergovernmental Conference Secretariat,20-24,*
2023,Canadian Intergovernmental Conference Secretariat,25-29,*
2023,Canadian Intergovernmental Conference Secretariat,30-34,*
2023,Canadian Intergovernmental Conference Secretariat,35-39,6
2023,Canadian Intergovernmental Conference Secretariat,40-44,*
2023,Canadian Intergovernmental Conference Secretariat,45-49,*
2023,Canadian Intergovernmental Conference Secretariat,50-54,*
2023,Canadian Intergovernmental Conference Secretariat,55-59,*
2023,Canadian Intergovernmental Conference Secretariat,65+,*
2023,Canadian Intergovernmental Conference Secretariat Total,Total,28
2023,Canadian Northern Economic Development Agency,20-24,*
2023,Canadian Northern Economic Development Agency,25-29,18
2023,Canadian Northern Economic Development Agency,30-34,10
2023,Canadian Northern Economic Development Agency,35-39,17
2023,Canadian Northern Economic Development Agency,40-44,18
2023,Canadian Northern Economic Development Agency,45-49,12
2023,Canadian Northern Economic Development Agency,50-54,18
2023,Canadian Northern Economic Development Agency,55-59,7
2023,Canadian Northern Economic Development Agency,60-64,*
2023,Canadian Northern Economic Development Agency,65+,*
2023,Canadian Northern Economic Development Agency Total,Total,111
2023,Canadian Nuclear Safety Commission,<20,*
2023,Canadian Nuclear Safety Commission,20-24,*
2023,Canadian Nuclear Safety Commission,25-29,89
2023,Canadian Nuclear Safety Commission,30-34,130
2023,Canadian Nuclear Safety Commission,35-39,113
2023,Canadian Nuclear Safety Commission,40-44,115
2023,Canadian Nuclear Safety Commission,45-49,116
2023,Canadian Nuclear Safety Commission,50-54,111
2023,Canadian Nuclear Safety Commission,55-59,118
2023,Canadian Nuclear Safety Commission,60-64,73
2023,Canadian Nuclear Safety Commission,65+,36
2023,Canadian Nuclear Safety Commission Total,Total,930
2023,Canadian Radio-television and Telecommunications Commission,<20,*
2023,Canadian Radio-television and Telecommunications Commission,20-24,36
2023,Canadian Radio-television and Telecommunications Commission,25-29,60
2023,Canadian Radio-television and Telecommunications Commission,30-34,60
2023,Canadian Radio-television and Telecommunications Commission,35-39,69
2023,Canadian Radio-television and Telecommunications Commission,40-44,105
2023,Canadian Radio-television and Telecommunications Commission,45-49,90
2023,Canadian Radio-television and Telecommunications Commission,50-54,57
2023,Canadian Radio-television and Telecommunications Commission,55-59,48
2023,Canadian Radio-television and Telecommunications Commission,60-64,24
2023,Canadian Radio-television and Telecommunications Commission,65+,*
2023,Canadian Radio-television and Telecommunications Commission Total,Total,564
2023,Canadian Space Agency,<20,*
2023,Canadian Space Agency,20-24,66
2023,Canadian Space Agency,25-29,74
2023,Canadian Space Agency,30-34,73
2023,Canadian Space Agency,35-39,96
2023,Canadian Space Agency,40-44,131
2023,Canadian Space Agency,45-49,133
2023,Canadian Space Agency,50-54,109
2023,Canadian Space Agency,55-59,103
2023,Canadian Space Agency,60-64,63
2023,Canadian Space Agency,65+,*
2023,Canadian Space Agency Total,Total,885
2023,Canadian Transportation Agency,<20,*
2023,Canadian Transportation Agency,20-24,12
2023,Canadian Transportation Agency,25-29,30
2023,Canadian Transportation Agency,30-34,40
2023,Canadian Transportation Agency,35-39,43
2023,Canadian Transportation Agency,40-44,40
2023,Canadian Transportation Agency,45-49,58
2023,Canadian Transportation Agency,50-54,35
2023,Canadian Transportation Agency,55-59,37
2023,Canadian Transportation Agency,60-64,12
2023,Canadian Transportation Agency,65+,*
2023,Canadian Transportation Agency Total,Total,313
2023,Civilian Review and Complaints Commission for the RCMP,20-24,12
2023,Civilian Review and Complaints Commission for the RCMP,25-29,9
2023,Civilian Review and Complaints Commission for the RCMP,30-34,17
2023,Civilian Review and Complaints Commission for the RCMP,35-39,*
2023,Civilian Review and Complaints Commission for the RCMP,40-44,9
2023,Civilian Review and Complaints Commission for the RCMP,45-49,12
2023,Civilian Review and Complaints Commission for the RCMP,50-54,14
2023,Civilian Review and Complaints Commission for the RCMP,55-59,6
2023,Civilian Review and Complaints Commission for the RCMP,60-64,6
2023,Civilian Review and Complaints Commission for the RCMP,65+,*
2023,Civilian Review and Complaints Commission for the RCMP Total,Total,92
2023,Communications Security Establishment,<20,*
2023,Communications Security Establishment,20-24,182
2023,Communications Security Establishment,25-29,470
2023,Communications Security Establishment,30-34,419
2023,Communications Security Establishment,35-39,362
2023,Communications Security Establishment,40-44,479
2023,Communications Security Establishment,45-49,455
2023,Communications Security Establishment,50-54,338
2023,Communications Security Establishment,55-59,272
2023,Communications Security Establishment,60-64,127
2023,Communications Security Establishment,65+,*
2023,Communications Security Establishment Total,Total,3161
2023,Copyright Board Canada,20-24,*
2023,Copyright Board Canada,25-29,*
2023,Copyright Board Canada,30-34,*
2023,Copyright Board Canada,35-39,*
2023,Copyright Board Canada,40-44,*
2023,Copyright Board Canada,45-49,*
2023,Copyright Board Canada,50-54,*
2023,Copyright Board Canada Total,Total,17
2023,Correctional Service Canada,<20,16
2023,Correctional Service Canada,20-24,632
2023,Correctional Service Canada,25-29,1750
2023,Correctional Service Canada,30-34,1940
2023,Correctional Service Canada,35-39,2403
2023,Correctional Service Canada,40-44,2784
2023,Correctional Service Canada,45-49,3073
2023,Correctional Service Canada,50-54,2813
2023,Correctional Service Canada,55-59,1860
2023,Correctional Service Canada,60-64,931
2023,Correctional Service Canada,65+,325
2023,Correctional Service Canada Total,Total,18527
2023,Courts Administration Service,<20,7
2023,Courts Administration Service,20-24,62
2023,Courts Administration Service,25-29,149
2023,Courts Administration Service,30-34,100
2023,Courts Administration Service,35-39,88
2023,Courts Administration Service,40-44,89
2023,Courts Administration Service,45-49,88
2023,Courts Administration Service,50-54,94
2023,Courts Administration Service,55-59,76
2023,Courts Administration Service,60-64,35
2023,Courts Administration Service,65+,22
2023,Courts Administration Service Total,Total,810
2023,Crown-Indigenous Relations and Northern Affairs Canada,<20,9
2023,Crown-Indigenous Relations and Northern Affairs Canada,20-24,181
2023,Crown-Indigenous Relations and Northern Affairs Canada,25-29,295
2023,Crown-Indigenous Relations and Northern Affairs Canada,30-34,294
2023,Crown-Indigenous Relations and Northern Affairs Canada,35-39,246
2023,Crown-Indigenous Relations and Northern Affairs Canada,40-44,326
2023,Crown-Indigenous Relations and Northern Affairs Canada,45-49,290
2023,Crown-Indigenous Relations and Northern Affairs Canada,50-54,252
2023,Crown-Indigenous Relations and Northern Affairs Canada,55-59,180
2023,Crown-Indigenous Relations and Northern Affairs Canada,60-64,93
2023,Crown-Indigenous Relations and Northern Affairs Canada,65+,38
2023,Crown-Indigenous Relations and Northern Affairs Canada Total,Total,2204
2023,Department of Finance Canada,<20,*
2023,Department of Finance Canada,20-24,28
2023,Department of Finance Canada,25-29,117
2023,Department of Finance Canada,30-34,167
2023,Department of Finance Canada,35-39,144
2023,Department of Finance Canada,40-44,148
2023,Department of Finance Canada,45-49,120
2023,Department of Finance Canada,50-54,80
2023,Department of Finance Canada,55-59,62
2023,Department of Finance Canada,60-64,31
2023,Department of Finance Canada,65+,*
2023,Department of Finance Canada Total,Total,908
2023,Department of Justice Canada,<20,11
2023,Department of Justice Canada,20-24,143
2023,Department of Justice Canada,25-29,595
2023,Department of Justice Canada,30-34,755
2023,Department of Justice Canada,35-39,649
2023,Department of Justice Canada,40-44,744
2023,Department of Justice Canada,45-49,779
2023,Department of Justice Canada,50-54,766
2023,Department of Justice Canada,55-59,548
2023,Department of Justice Canada,60-64,248
2023,Department of Justice Canada,65+,140
2023,Department of Justice Canada Total,Total,5378
2023,Elections Canada,20-24,46
2023,Elections Canada,25-29,167
2023,Elections Canada,30-34,165
2023,Elections Canada,35-39,122
2023,Elections Canada,40-44,122
2023,Elections Canada,45-49,124
2023,Elections Canada,50-54,121
2023,Elections Canada,55-59,92
2023,Elections Canada,60-64,55
2023,Elections Canada,65+,26
2023,Elections Canada Total,Total,1040
2023,Employment and Social Development Canada,<20,41
2023,Employment and Social Development Canada,20-24,1483
2023,Employment and Social Development Canada,25-29,4314
2023,Employment and Social Development Canada,30-34,5091
2023,Employment and Social Development Canada,35-39,5716
2023,Employment and Social Development Canada,40-44,6270
2023,Employment and Social Development Canada,45-49,5745
2023,Employment and Social Development Canada,50-54,4761
2023,Employment and Social Development Canada,55-59,3367
2023,Employment and Social Development Canada,60-64,1643
2023,Employment and Social Development Canada,65+,552
2023,Employment and Social Development Canada Total,Total,38983
2023,Environment and Climate Change Canada,<20,40
2023,Environment and Climate Change Canada,20-24,628
2023,Environment and Climate Change Canada,25-29,1066
2023,Environment and Climate Change Canada,30-34,1061
2023,Environment and Climate Change Canada,35-39,1040
2023,Environment and Climate Change Canada,40-44,1135
2023,Environment and Climate Change Canada,45-49,1187
2023,Environment and Climate Change Canada,50-54,949
2023,Environment and Climate Change Canada,55-59,739
2023,Environment and Climate Change Canada,60-64,381
2023,Environment and Climate Change Canada,65+,185
2023,Environment and Climate Change Canada Total,Total,8411
2023,Federal Economic Development Agency for Southern Ontario,<20,*
2023,Federal Economic Development Agency for Southern Ontario,20-24,37
2023,Federal Economic Development Agency for Southern Ontario,25-29,50
2023,Federal Economic Development Agency for Southern Ontario,30-34,37
2023,Federal Economic Development Agency for Southern Ontario,35-39,45
2023,Federal Economic Development Agency for Southern Ontario,40-44,37
2023,Federal Economic Development Agency for Southern Ontario,45-49,37
2023,Federal Economic Development Agency for Southern Ontario,50-54,32
2023,Federal Economic Development Agency for Southern Ontario,55-59,34
2023,Federal Economic Development Agency for Southern Ontario,60-64,12
2023,Federal Economic Development Agency for Southern Ontario,65+,*
2023,Federal Economic Development Agency for Southern Ontario Total,Total,331
2023,Federal Judges not part of any department,35-39,*
2023,Federal Judges not part of any department,40-44,*
2023,Federal Judges not part of any department,45-49,51
2023,Federal Judges not part of any department,50-54,194
2023,Federal Judges not part of any department,55-59,238
2023,Federal Judges not part of any department,60-64,240
2023,Federal Judges not part of any department,65+,446
2023,Federal Judges not part of any department Total,Total,1183
2023,Financial Consumer Agency of Canada,20-24,14
2023,Financial Consumer Agency of Canada,25-29,19
2023,Financial Consumer Agency of Canada,30-34,24
2023,Financial Consumer Agency of Canada,35-39,41
2023,Financial Consumer Agency of Canada,40-44,43
2023,Financial Consumer Agency of Canada,45-49,34
2023,Financial Consumer Agency of Canada,50-54,21
2023,Financial Consumer Agency of Canada,55-59,12
2023,Financial Consumer Agency of Canada,60-64,*
2023,Financial Consumer Agency of Canada,65+,*
2023,Financial Consumer Agency of Canada Total,Total,216
2023,Financial Transactions and Reports Analysis Centre of Canada,<20,*
2023,Financial Transactions and Reports Analysis Centre of Canada,20-24,80
2023,Financial Transactions and Reports Analysis Centre of Canada,25-29,66
2023,Financial Transactions and Reports Analysis Centre of Canada,30-34,65
2023,Financial Transactions and Reports Analysis Centre of Canada,35-39,63
2023,Financial Transactions and Reports Analysis Centre of Canada,40-44,59
2023,Financial Transactions and Reports Analysis Centre of Canada,45-49,71
2023,Financial Transactions and Reports Analysis Centre of Canada,50-54,74
2023,Financial Transactions and Reports Analysis Centre of Canada,55-59,47
2023,Financial Transactions and Reports Analysis Centre of Canada,60-64,9
2023,Financial Transactions and Reports Analysis Centre of Canada,65+,*
2023,Financial Transactions and Reports Analysis Centre of Canada Total,Total,545
2023,Fisheries and Oceans Canada,<20,83
2023,Fisheries and Oceans Canada,20-24,726
2023,Fisheries and Oceans Canada,25-29,1725
2023,Fisheries and Oceans Canada,30-34,2017
2023,Fisheries and Oceans Canada,35-39,1964
2023,Fisheries and Oceans Canada,40-44,2038
2023,Fisheries and Oceans Canada,45-49,1884
2023,Fisheries and Oceans Canada,50-54,1691
2023,Fisheries and Oceans Canada,55-59,1317
2023,Fisheries and Oceans Canada,60-64,786
2023,Fisheries and Oceans Canada,65+,295
2023,Fisheries and Oceans Canada Total,Total,14526
2023,Global Affairs Canada,<20,6
2023,Global Affairs Canada,20-24,401
2023,Global Affairs Canada,25-29,834
2023,Global Affairs Canada,30-34,884
2023,Global Affairs Canada,35-39,873
2023,Global Affairs Canada,40-44,1126
2023,Global Affairs Canada,45-49,1191
2023,Global Affairs Canada,50-54,960
2023,Global Affairs Canada,55-59,659
2023,Global Affairs Canada,60-64,342
2023,Global Affairs Canada,65+,184
2023,Global Affairs Canada Total,Total,7460
2023,Health Canada,<20,15
2023,Health Canada,20-24,534
2023,Health Canada,25-29,1189
2023,Health Canada,30-34,1155
2023,Health Canada,35-39,1244
2023,Health Canada,40-44,1507
2023,Health Canada,45-49,1535
2023,Health Canada,50-54,1171
2023,Health Canada,55-59,894
2023,Health Canada,60-64,509
2023,Health Canada,65+,250
2023,Health Canada Total,Total,10003
2023,Immigration and Refugee Board of Canada,<20,*
2023,Immigration and Refugee Board of Canada,20-24,117
2023,Immigration and Refugee Board of Canada,25-29,338
2023,Immigration and Refugee Board of Canada,30-34,328
2023,Immigration and Refugee Board of Canada,35-39,319
2023,Immigration and Refugee Board of Canada,40-44,304
2023,Immigration and Refugee Board of Canada,45-49,274
2023,Immigration and Refugee Board of Canada,50-54,248
2023,Immigration and Refugee Board of Canada,55-59,176
2023,Immigration and Refugee Board of Canada,60-64,123
2023,Immigration and Refugee Board of Canada,65+,*
2023,Immigration and Refugee Board of Canada Total,Total,2304
2023,"Immigration, Refugees and Citizenship Canada",<20,54
2023,"Immigration, Refugees and Citizenship Canada",20-24,893
2023,"Immigration, Refugees and Citizenship Canada",25-29,1862
2023,"Immigration, Refugees and Citizenship Canada",30-34,1821
2023,"Immigration, Refugees and Citizenship Canada",35-39,1724
2023,"Immigration, Refugees and Citizenship Canada",40-44,1781
2023,"Immigration, Refugees and Citizenship Canada",45-49,1539
2023,"Immigration, Refugees and Citizenship Canada",50-54,1159
2023,"Immigration, Refugees and Citizenship Canada",55-59,807
2023,"Immigration, Refugees and Citizenship Canada",60-64,439
2023,"Immigration, Refugees and Citizenship Canada",65+,179
2023,"Immigration, Refugees and Citizenship Canada Total",Total,12258
2023,Impact Assessment Agency of Canada,<20,*
2023,Impact Assessment Agency of Canada,20-24,22
2023,Impact Assessment Agency of Canada,25-29,56
2023,Impact Assessment Agency of Canada,30-34,74
2023,Impact Assessment Agency of Canada,35-39,72
2023,Impact Assessment Agency of Canada,40-44,81
2023,Impact Assessment Agency of Canada,45-49,61
2023,Impact Assessment Agency of Canada,50-54,47
2023,Impact Assessment Agency of Canada,55-59,18
2023,Impact Assessment Agency of Canada,60-64,13
2023,Impact Assessment Agency of Canada,65+,*
2023,Impact Assessment Agency of Canada Total,Total,452
2023,Indian Oil and Gas Canada,25-29,*
2023,Indian Oil and Gas Canada,30-34,*
2023,Indian Oil and Gas Canada,35-39,*
2023,Indian Oil and Gas Canada,40-44,11
2023,Indian Oil and Gas Canada,45-49,9
2023,Indian Oil and Gas Canada,50-54,18
2023,Indian Oil and Gas Canada,55-59,17
2023,Indian Oil and Gas Canada,60-64,7
2023,Indian Oil and Gas Canada,65+,*
2023,Indian Oil and Gas Canada Total,Total,75
2023,Indigenous Services Canada,<20,9
2023,Indigenous Services Canada,20-24,359
2023,Indigenous Services Canada,25-29,826
2023,Indigenous Services Canada,30-34,857
2023,Indigenous Services Canada,35-39,921
2023,Indigenous Services Canada,40-44,1082
2023,Indigenous Services Canada,45-49,1142
2023,Indigenous Services Canada,50-54,1042
2023,Indigenous Services Canada,55-59,864
2023,Indigenous Services Canada,60-64,428
2023,Indigenous Services Canada,65+,192
2023,Indigenous Services Canada Total,Total,7722
2023,"Housing, Infrastructure and Communities Canada",<20,*
2023,"Housing, Infrastructure and Communities Canada",20-24,142
2023,"Housing, Infrastructure and Communities Canada",25-29,262
2023,"Housing, Infrastructure and Communities Canada",30-34,197
2023,"Housing, Infrastructure and Communities Canada",35-39,206
2023,"Housing, Infrastructure and Communities Canada",40-44,181
2023,"Housing, Infrastructure and Communities Canada",45-49,162
2023,"Housing, Infrastructure and Communities Canada",50-54,104
2023,"Housing, Infrastructure and Communities Canada",55-59,64
2023,"Housing, Infrastructure and Communities Canada",60-64,18
2023,"Housing, Infrastructure and Communities Canada",65+,*
2023,"Housing, Infrastructure and Communities Canada Total",Total,1350
2023,"Innovation, Science and Economic Development Canada",<20,32
2023,"Innovation, Science and Economic Development Canada",20-24,483
2023,"Innovation, Science and Economic Development Canada",25-29,869
2023,"Innovation, Science and Economic Development Canada",30-34,773
2023,"Innovation, Science and Economic Development Canada",35-39,809
2023,"Innovation, Science and Economic Development Canada",40-44,880
2023,"Innovation, Science and Economic Development Canada",45-49,858
2023,"Innovation, Science and Economic Development Canada",50-54,725
2023,"Innovation, Science and Economic Development Canada",55-59,509
2023,"Innovation, Science and Economic Development Canada",60-64,260
2023,"Innovation, Science and Economic Development Canada",65+,133
2023,"Innovation, Science and Economic Development Canada Total",Total,6331
2023,International Joint Commission,20-24,*
2023,International Joint Commission,25-29,*
2023,International Joint Commission,30-34,*
2023,International Joint Commission,35-39,*
2023,International Joint Commission,40-44,6
2023,International Joint Commission,45-49,*
2023,International Joint Commission,50-54,*
2023,International Joint Commission,55-59,*
2023,International Joint Commission,60-64,*
2023,International Joint Commission,65+,*
2023,International Joint Commission Total,Total,33
2023,Library and Archives Canada,<20,*
2023,Library and Archives Canada,20-24,48
2023,Library and Archives Canada,25-29,93
2023,Library and Archives Canada,30-34,104
2023,Library and Archives Canada,35-39,118
2023,Library and Archives Canada,40-44,171
2023,Library and Archives Canada,45-49,166
2023,Library and Archives Canada,50-54,129
2023,Library and Archives Canada,55-59,101
2023,Library and Archives Canada,60-64,51
2023,Library and Archives Canada,65+,*
2023,Library and Archives Canada Total,Total,1013
2023,Military Grievances External Review Committee,20-24,*
2023,Military Grievances External Review Committee,30-34,6
2023,Military Grievances External Review Committee,35-39,6
2023,Military Grievances External Review Committee,40-44,9
2023,Military Grievances External Review Committee,45-49,*
2023,Military Grievances External Review Committee,50-54,9
2023,Military Grievances External Review Committee,55-59,7
2023,Military Grievances External Review Committee,60-64,*
2023,Military Grievances External Review Committee,65+,*
2023,Military Grievances External Review Committee Total,Total,48
2023,Military Police Complaints Commission of Canada,20-24,*
2023,Military Police Complaints Commission of Canada,25-29,6
2023,Military Police Complaints Commission of Canada,30-34,*
2023,Military Police Complaints Commission of Canada,35-39,*
2023,Military Police Complaints Commission of Canada,40-44,*
2023,Military Police Complaints Commission of Canada,45-49,*
2023,Military Police Complaints Commission of Canada,50-54,6
2023,Military Police Complaints Commission of Canada,55-59,*
2023,Military Police Complaints Commission of Canada,60-64,*
2023,Military Police Complaints Commission of Canada,65+,*
2023,Military Police Complaints Commission of Canada Total,Total,32
2023,National Defence,<20,64
2023,National Defence,20-24,873
2023,National Defence,25-29,1837
2023,National Defence,30-34,2237
2023,National Defence,35-39,2760
2023,National Defence,40-44,3337
2023,National Defence,45-49,3657
2023,National Defence,50-54,4111
2023,National Defence,55-59,4449
2023,National Defence,60-64,2833
2023,National Defence,65+,1198
2023,National Defence Total,Total,27356
2023,National Film Board,20-24,*
2023,National Film Board,25-29,16
2023,National Film Board,30-34,31
2023,National Film Board,35-39,41
2023,National Film Board,40-44,81
2023,National Film Board,45-49,69
2023,National Film Board,50-54,66
2023,National Film Board,55-59,46
2023,National Film Board,60-64,24
2023,National Film Board,65+,*
2023,National Film Board Total,Total,383
2023,National Research Council Canada,<20,15
2023,National Research Council Canada,20-24,173
2023,National Research Council Canada,25-29,238
2023,National Research Council Canada,30-34,394
2023,National Research Council Canada,35-39,463
2023,National Research Council Canada,40-44,618
2023,National Research Council Canada,45-49,653
2023,National Research Council Canada,50-54,672
2023,National Research Council Canada,55-59,648
2023,National Research Council Canada,60-64,397
2023,National Research Council Canada,65+,152
2023,National Research Council Canada Total,Total,4423
2023,National Security Intelligence and Review Agency,20-24,9
2023,National Security Intelligence and Review Agency,25-29,20
2023,National Security Intelligence and Review Agency,30-34,14
2023,National Security Intelligence and Review Agency,35-39,16
2023,National Security Intelligence and Review Agency,40-44,11
2023,National Security Intelligence and Review Agency,45-49,9
2023,National Security Intelligence and Review Agency,50-54,*
2023,National Security Intelligence and Review Agency,55-59,*
2023,National Security Intelligence and Review Agency,60-64,*
2023,National Security Intelligence and Review Agency,65+,*
2023,National Security Intelligence and Review Agency Total,Total,92
2023,Natural Resources Canada,<20,20
2023,Natural Resources Canada,20-24,255
2023,Natural Resources Canada,25-29,618
2023,Natural Resources Canada,30-34,660
2023,Natural Resources Canada,35-39,670
2023,Natural Resources Canada,40-44,732
2023,Natural Resources Canada,45-49,708
2023,Natural Resources Canada,50-54,620
2023,Natural Resources Canada,55-59,477
2023,Natural Resources Canada,60-64,329
2023,Natural Resources Canada,65+,213
2023,Natural Resources Canada Total,Total,5302
2023,Natural Sciences and Engineering Research Canada,<20,*
2023,Natural Sciences and Engineering Research Canada,20-24,17
2023,Natural Sciences and Engineering Research Canada,25-29,53
2023,Natural Sciences and Engineering Research Canada,30-34,67
2023,Natural Sciences and Engineering Research Canada,35-39,82
2023,Natural Sciences and Engineering Research Canada,40-44,74
2023,Natural Sciences and Engineering Research Canada,45-49,80
2023,Natural Sciences and Engineering Research Canada,50-54,70
2023,Natural Sciences and Engineering Research Canada,55-59,60
2023,Natural Sciences and Engineering Research Canada,60-64,32
2023,Natural Sciences and Engineering Research Canada,65+,*
2023,Natural Sciences and Engineering Research Canada Total,Total,543
2023,Office of the Auditor General of Canada,<20,*
2023,Office of the Auditor General of Canada,20-24,48
2023,Office of the Auditor General of Canada,25-29,86
2023,Office of the Auditor General of Canada,30-34,120
2023,Office of the Auditor General of Canada,35-39,123
2023,Office of the Auditor General of Canada,40-44,117
2023,Office of the Auditor General of Canada,45-49,104
2023,Office of the Auditor General of Canada,50-54,93
2023,Office of the Auditor General of Canada,55-59,77
2023,Office of the Auditor General of Canada,60-64,20
2023,Office of the Auditor General of Canada,65+,*
2023,Office of the Auditor General of Canada Total,Total,793
2023,Office of the Commissioner for Federal Judicial Affairs Canada,20-24,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada,25-29,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada,30-34,9
2023,Office of the Commissioner for Federal Judicial Affairs Canada,35-39,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada,40-44,10
2023,Office of the Commissioner for Federal Judicial Affairs Canada,45-49,13
2023,Office of the Commissioner for Federal Judicial Affairs Canada,50-54,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada,55-59,15
2023,Office of the Commissioner for Federal Judicial Affairs Canada,60-64,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada,65+,*
2023,Office of the Commissioner for Federal Judicial Affairs Canada Total,Total,68
2023,Office of the Commissioner of Lobbying of Canada,20-24,*
2023,Office of the Commissioner of Lobbying of Canada,25-29,*
2023,Office of the Commissioner of Lobbying of Canada,30-34,*
2023,Office of the Commissioner of Lobbying of Canada,35-39,*
2023,Office of the Commissioner of Lobbying of Canada,40-44,*
2023,Office of the Commissioner of Lobbying of Canada,45-49,*
2023,Office of the Commissioner of Lobbying of Canada,50-54,*
2023,Office of the Commissioner of Lobbying of Canada,55-59,6
2023,Office of the Commissioner of Lobbying of Canada Total,Total,27
2023,Office of the Commissioner of Official Languages,20-24,11
2023,Office of the Commissioner of Official Languages,25-29,24
2023,Office of the Commissioner of Official Languages,30-34,10
2023,Office of the Commissioner of Official Languages,35-39,30
2023,Office of the Commissioner of Official Languages,40-44,19
2023,Office of the Commissioner of Official Languages,45-49,20
2023,Office of the Commissioner of Official Languages,50-54,34
2023,Office of the Commissioner of Official Languages,55-59,12
2023,Office of the Commissioner of Official Languages,60-64,*
2023,Office of the Commissioner of Official Languages,65+,*
