Year,Department or agency,Province or territory of work,Number of employees
2023,Financial Consumer Agency of Canada,Ontario (minus the NCR),9
2023,Financial Consumer Agency of Canada,Unknown,2
2023,Financial Transactions and Reports Analysis Centre of Canada,British Columbia,11
2023,Financial Transactions and Reports Analysis Centre of Canada,National Capital Region (NCR),187
2023,Financial Transactions and Reports Analysis Centre of Canada,Ontario (minus the NCR),10
2023,Financial Transactions and Reports Analysis Centre of Canada,Quebec (minus the NCR),4
2023,Financial Transactions and Reports Analysis Centre of Canada,Unknown,333
2023,Fisheries and Oceans Canada,Alberta,40
2023,Fisheries and Oceans Canada,British Columbia,3490
2023,Fisheries and Oceans Canada,Manitoba,342
2023,Fisheries and Oceans Canada,National Capital Region (NCR),2651
2023,Fisheries and Oceans Canada,New Brunswick,909
2023,Fisheries and Oceans Canada,Newfoundland and Labrador,1921
2023,Fisheries and Oceans Canada,Northwest Territories,86
2023,Fisheries and Oceans Canada,Nova Scotia,2050
2023,Fisheries and Oceans Canada,Nunavut,46
2023,Fisheries and Oceans Canada,Ontario (minus the NCR),1008
2023,Fisheries and Oceans Canada,Prince Edward Island,166
2023,Fisheries and Oceans Canada,Quebec (minus the NCR),1729
2023,Fisheries and Oceans Canada,Saskatchewan,14
2023,Fisheries and Oceans Canada,Unknown,28
2023,Fisheries and Oceans Canada,Yukon,46
2023,Global Affairs Canada,Alberta,21
2023,Global Affairs Canada,British Columbia,27
2023,Global Affairs Canada,Manitoba,8
2023,Global Affairs Canada,National Capital Region (NCR),6111
2023,Global Affairs Canada,New Brunswick,2
2023,Global Affairs Canada,Newfoundland and Labrador,1
2023,Global Affairs Canada,Nova Scotia,7
2023,Global Affairs Canada,Ontario (minus the NCR),39
2023,Global Affairs Canada,Outside of Canada,1185
2023,Global Affairs Canada,Quebec (minus the NCR),28
2023,Global Affairs Canada,Saskatchewan,3
2023,Global Affairs Canada,Unknown,28
2023,Health Canada,Alberta,139
2023,Health Canada,British Columbia,287
2023,Health Canada,Manitoba,174
2023,Health Canada,National Capital Region (NCR),7984
2023,Health Canada,New Brunswick,28
2023,Health Canada,Newfoundland and Labrador,13
2023,Health Canada,Nova Scotia,124
2023,Health Canada,Ontario (minus the NCR),592
2023,Health Canada,Prince Edward Island,5
2023,Health Canada,Quebec (minus the NCR),462
2023,Health Canada,Saskatchewan,17
2023,Health Canada,Unknown,178
2023,Immigration and Refugee Board of Canada,Alberta,26
2023,Immigration and Refugee Board of Canada,British Columbia,273
2023,Immigration and Refugee Board of Canada,National Capital Region (NCR),497
2023,Immigration and Refugee Board of Canada,Ontario (minus the NCR),793
2023,Immigration and Refugee Board of Canada,Quebec (minus the NCR),652
2023,Immigration and Refugee Board of Canada,Unknown,63
2023,"Immigration, Refugees and Citizenship Canada",Alberta,716
2023,"Immigration, Refugees and Citizenship Canada",British Columbia,459
2023,"Immigration, Refugees and Citizenship Canada",Manitoba,189
2023,"Immigration, Refugees and Citizenship Canada",National Capital Region (NCR),6764
2023,"Immigration, Refugees and Citizenship Canada",New Brunswick,41
2023,"Immigration, Refugees and Citizenship Canada",Newfoundland and Labrador,15
2023,"Immigration, Refugees and Citizenship Canada",Northwest Territories,1
2023,"Immigration, Refugees and Citizenship Canada",Nova Scotia,1057
2023,"Immigration, Refugees and Citizenship Canada",Ontario (minus the NCR),1376
2023,"Immigration, Refugees and Citizenship Canada",Outside of Canada,285
2023,"Immigration, Refugees and Citizenship Canada",Prince Edward Island,7
2023,"Immigration, Refugees and Citizenship Canada",Quebec (minus the NCR),1132
2023,"Immigration, Refugees and Citizenship Canada",Saskatchewan,84
2023,"Immigration, Refugees and Citizenship Canada",Unknown,131
2023,"Immigration, Refugees and Citizenship Canada",Yukon,1
2023,Impact Assessment Agency of Canada,Alberta,26
2023,Impact Assessment Agency of Canada,British Columbia,32
2023,Impact Assessment Agency of Canada,National Capital Region (NCR),302
2023,Impact Assessment Agency of Canada,Newfoundland and Labrador,7
2023,Impact Assessment Agency of Canada,Nova Scotia,20
2023,Impact Assessment Agency of Canada,Ontario (minus the NCR),32
2023,Impact Assessment Agency of Canada,Quebec (minus the NCR),28
2023,Impact Assessment Agency of Canada,Unknown,5
2023,Indian Oil and Gas Canada,Alberta,74
2023,Indian Oil and Gas Canada,Unknown,1
2023,Indigenous Services Canada,Alberta,660
2023,Indigenous Services Canada,British Columbia,343
2023,Indigenous Services Canada,Manitoba,1059
2023,Indigenous Services Canada,National Capital Region (NCR),3510
2023,Indigenous Services Canada,New Brunswick,15
2023,Indigenous Services Canada,Newfoundland and Labrador,4
2023,Indigenous Services Canada,Northwest Territories,7
2023,Indigenous Services Canada,Nova Scotia,343
2023,Indigenous Services Canada,Ontario (minus the NCR),785
2023,Indigenous Services Canada,Quebec (minus the NCR),367
2023,Indigenous Services Canada,Saskatchewan,548
2023,Indigenous Services Canada,Unknown,62
2023,Indigenous Services Canada,Yukon,19
2023,Infrastructure Canada,Alberta,1
2023,Infrastructure Canada,British Columbia,7
2023,Infrastructure Canada,National Capital Region (NCR),1265
2023,Infrastructure Canada,Nova Scotia,3
2023,Infrastructure Canada,Prince Edward Island,1
2023,Infrastructure Canada,Quebec (minus the NCR),40
2023,Infrastructure Canada,Unknown,33
2023,"Innovation, Science and Economic Development Canada",Alberta,99
2023,"Innovation, Science and Economic Development Canada",British Columbia,167
2023,"Innovation, Science and Economic Development Canada",Manitoba,42
2023,"Innovation, Science and Economic Development Canada",National Capital Region (NCR),5242
2023,"Innovation, Science and Economic Development Canada",New Brunswick,25
2023,"Innovation, Science and Economic Development Canada",Newfoundland and Labrador,15
2023,"Innovation, Science and Economic Development Canada",Nova Scotia,47
2023,"Innovation, Science and Economic Development Canada",Ontario (minus the NCR),363
2023,"Innovation, Science and Economic Development Canada",Prince Edward Island,2
2023,"Innovation, Science and Economic Development Canada",Quebec (minus the NCR),272
2023,"Innovation, Science and Economic Development Canada",Saskatchewan,24
2023,"Innovation, Science and Economic Development Canada",Unknown,32
2023,"Innovation, Science and Economic Development Canada",Yukon,1
2023,International Joint Commission,National Capital Region (NCR),24
2023,International Joint Commission,Ontario (minus the NCR),9
2023,Library and Archives Canada,British Columbia,9
2023,Library and Archives Canada,Manitoba,40
2023,Library and Archives Canada,National Capital Region (NCR),957
2023,Library and Archives Canada,Nova Scotia,4
2023,Library and Archives Canada,Unknown,3
2023,Military Grievances External Review Committee,National Capital Region (NCR),48
2023,Military Police Complaints Commission of Canada,National Capital Region (NCR),32
2023,National Defence,Alberta,1679
2023,National Defence,British Columbia,2476
2023,National Defence,Manitoba,774
2023,National Defence,National Capital Region (NCR),11144
2023,National Defence,New Brunswick,933
2023,National Defence,Newfoundland and Labrador,114
2023,National Defence,Northwest Territories,20
2023,National Defence,Nova Scotia,3168
2023,National Defence,Ontario (minus the NCR),3801
2023,National Defence,Outside of Canada,12
2023,National Defence,Prince Edward Island,11
2023,National Defence,Quebec (minus the NCR),3003
2023,National Defence,Saskatchewan,153
2023,National Defence,Unknown,67
2023,National Defence,Yukon,1
2023,National Film Board,Alberta,9
2023,National Film Board,British Columbia,24
2023,National Film Board,Manitoba,4
2023,National Film Board,New Brunswick,4
2023,National Film Board,Newfoundland and Labrador,1
2023,National Film Board,Nova Scotia,8
2023,National Film Board,Ontario (minus the NCR),23
2023,National Film Board,Quebec (minus the NCR),310
2023,National Research Council Canada,Alberta,104
2023,National Research Council Canada,British Columbia,246
2023,National Research Council Canada,Manitoba,45
2023,National Research Council Canada,National Capital Region (NCR),2044
2023,National Research Council Canada,New Brunswick,35
2023,National Research Council Canada,Newfoundland and Labrador,87
2023,National Research Council Canada,Nova Scotia,107
2023,National Research Council Canada,Ontario (minus the NCR),118
2023,National Research Council Canada,Prince Edward Island,19
2023,National Research Council Canada,Quebec (minus the NCR),564
2023,National Research Council Canada,Saskatchewan,95
2023,National Research Council Canada,Unknown,959
2023,National Security Intelligence and Review Agency,National Capital Region (NCR),21
2023,National Security Intelligence and Review Agency,Unknown,71
2023,Natural Resources Canada,Alberta,328
2023,Natural Resources Canada,British Columbia,287
2023,Natural Resources Canada,Manitoba,11
2023,Natural Resources Canada,National Capital Region (NCR),3646
2023,Natural Resources Canada,New Brunswick,82
2023,Natural Resources Canada,Newfoundland and Labrador,26
2023,Natural Resources Canada,Northwest Territories,10
2023,Natural Resources Canada,Nova Scotia,80
2023,Natural Resources Canada,Nunavut,8
2023,Natural Resources Canada,Ontario (minus the NCR),305
2023,Natural Resources Canada,Prince Edward Island,1
2023,Natural Resources Canada,Quebec (minus the NCR),481
2023,Natural Resources Canada,Saskatchewan,9
2023,Natural Resources Canada,Unknown,23
2023,Natural Resources Canada,Yukon,5
2023,Natural Sciences and Engineering Research Canada,British Columbia,3
2023,Natural Sciences and Engineering Research Canada,Manitoba,4
2023,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),524
2023,Natural Sciences and Engineering Research Canada,New Brunswick,2
2023,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),5
2023,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),4
2023,Natural Sciences and Engineering Research Canada,Unknown,1
2023,Office of the Auditor General of Canada,Alberta,14
2023,Office of the Auditor General of Canada,British Columbia,17
2023,Office of the Auditor General of Canada,National Capital Region (NCR),717
2023,Office of the Auditor General of Canada,Nova Scotia,13
2023,Office of the Auditor General of Canada,Quebec (minus the NCR),29
2023,Office of the Auditor General of Canada,Unknown,3
2023,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),58
2023,Office of the Commissioner for Federal Judicial Affairs Canada,Unknown,10
2023,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),27
2023,Office of the Commissioner of Official Languages,Alberta,2
2023,Office of the Commissioner of Official Languages,Manitoba,2
2023,Office of the Commissioner of Official Languages,National Capital Region (NCR),151
2023,Office of the Commissioner of Official Languages,New Brunswick,5
2023,Office of the Commissioner of Official Languages,Ontario (minus the NCR),2
2023,Office of the Commissioner of Official Languages,Quebec (minus the NCR),4
2023,Office of the Commissioner of Official Languages,Unknown,1
2023,Office of the Governor General's Secretary,National Capital Region (NCR),177
2023,Office of the Governor General's Secretary,Quebec (minus the NCR),5
2023,Office of the Governor General's Secretary,Unknown,2
2023,Office of the Intelligence Commissioner,Unknown,6
2023,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),36
2023,Office of the Superintendent of Financial Institutions Canada,British Columbia,27
2023,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),483
2023,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),594
2023,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),24
2023,Office of the Superintendent of Financial Institutions Canada,Unknown,11
2023,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),294
2023,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),9
2023,Offices of the Information and Privacy Commissioners of Canada,Unknown,1
2023,Parks Canada,Alberta,920
2023,Parks Canada,British Columbia,546
2023,Parks Canada,Manitoba,224
2023,Parks Canada,National Capital Region (NCR),724
2023,Parks Canada,New Brunswick,131
2023,Parks Canada,Newfoundland and Labrador,154
2023,Parks Canada,Northwest Territories,100
2023,Parks Canada,Nova Scotia,349
2023,Parks Canada,Nunavut,58
2023,Parks Canada,Ontario (minus the NCR),670
2023,Parks Canada,Prince Edward Island,86
2023,Parks Canada,Quebec (minus the NCR),496
2023,Parks Canada,Saskatchewan,142
2023,Parks Canada,Unknown,123
2023,Parks Canada,Yukon,88
2023,Parole Board of Canada,Alberta,49
2023,Parole Board of Canada,British Columbia,46
2023,Parole Board of Canada,National Capital Region (NCR),181
2023,Parole Board of Canada,New Brunswick,44
2023,Parole Board of Canada,Ontario (minus the NCR),70
2023,Parole Board of Canada,Quebec (minus the NCR),69
2023,Parole Board of Canada,Saskatchewan,32
2023,Parole Board of Canada,Unknown,3
2023,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),83
2023,Polar Knowledge Canada,National Capital Region (NCR),7
2023,Polar Knowledge Canada,Nunavut,3
2023,Polar Knowledge Canada,Unknown,79
2023,Privy Council Office,Alberta,4
2023,Privy Council Office,British Columbia,5
2023,Privy Council Office,Manitoba,2
2023,Privy Council Office,National Capital Region (NCR),1061
2023,Privy Council Office,New Brunswick,2
2023,Privy Council Office,Newfoundland and Labrador,2
2023,Privy Council Office,Northwest Territories,1
2023,Privy Council Office,Nova Scotia,4
2023,Privy Council Office,Nunavut,1
2023,Privy Council Office,Ontario (minus the NCR),10
2023,Privy Council Office,Prince Edward Island,2
2023,Privy Council Office,Quebec (minus the NCR),7
2023,Privy Council Office,Saskatchewan,2
2023,Privy Council Office,Unknown,108
2023,Privy Council Office,Yukon,1
2023,Public Health Agency of Canada,Alberta,75
2023,Public Health Agency of Canada,British Columbia,95
2023,Public Health Agency of Canada,Manitoba,681
2023,Public Health Agency of Canada,National Capital Region (NCR),2576
2023,Public Health Agency of Canada,New Brunswick,15
2023,Public Health Agency of Canada,Newfoundland and Labrador,14
2023,Public Health Agency of Canada,Northwest Territories,2
2023,Public Health Agency of Canada,Nova Scotia,48
2023,Public Health Agency of Canada,Nunavut,1
2023,Public Health Agency of Canada,Ontario (minus the NCR),358
2023,Public Health Agency of Canada,Prince Edward Island,5
2023,Public Health Agency of Canada,Quebec (minus the NCR),198
2023,Public Health Agency of Canada,Saskatchewan,24
2023,Public Health Agency of Canada,Unknown,112
2023,Public Health Agency of Canada,Yukon,7
2023,Public Prosecution Service of Canada,Alberta,119
2023,Public Prosecution Service of Canada,British Columbia,117
2023,Public Prosecution Service of Canada,Manitoba,46
2023,Public Prosecution Service of Canada,National Capital Region (NCR),295
2023,Public Prosecution Service of Canada,New Brunswick,16
2023,Public Prosecution Service of Canada,Newfoundland and Labrador,10
2023,Public Prosecution Service of Canada,Northwest Territories,62
2023,Public Prosecution Service of Canada,Nova Scotia,47
2023,Public Prosecution Service of Canada,Nunavut,48
2023,Public Prosecution Service of Canada,Ontario (minus the NCR),215
2023,Public Prosecution Service of Canada,Quebec (minus the NCR),96
2023,Public Prosecution Service of Canada,Saskatchewan,36
2023,Public Prosecution Service of Canada,Unknown,29
2023,Public Prosecution Service of Canada,Yukon,37
2023,Public Safety Canada,Alberta,17
2023,Public Safety Canada,British Columbia,24
2023,Public Safety Canada,Manitoba,15
2023,Public Safety Canada,National Capital Region (NCR),1437
2023,Public Safety Canada,New Brunswick,6
2023,Public Safety Canada,Newfoundland and Labrador,6
2023,Public Safety Canada,Northwest Territories,1
2023,Public Safety Canada,Nova Scotia,14
2023,Public Safety Canada,Ontario (minus the NCR),40
2023,Public Safety Canada,Prince Edward Island,5
2023,Public Safety Canada,Quebec (minus the NCR),32
2023,Public Safety Canada,Saskatchewan,7
2023,Public Safety Canada,Unknown,18
2023,Public Service Commission of Canada,British Columbia,20
2023,Public Service Commission of Canada,Manitoba,1
2023,Public Service Commission of Canada,National Capital Region (NCR),826
2023,Public Service Commission of Canada,New Brunswick,1
2023,Public Service Commission of Canada,Nova Scotia,28
2023,Public Service Commission of Canada,Ontario (minus the NCR),20
2023,Public Service Commission of Canada,Prince Edward Island,1
2023,Public Service Commission of Canada,Quebec (minus the NCR),77
2023,Public Service Commission of Canada,Unknown,1
2023,Public Services and Procurement Canada,Alberta,389
2023,Public Services and Procurement Canada,British Columbia,622
2023,Public Services and Procurement Canada,Manitoba,259
2023,Public Services and Procurement Canada,National Capital Region (NCR),11247
2023,Public Services and Procurement Canada,New Brunswick,2546
2023,Public Services and Procurement Canada,Newfoundland and Labrador,106
2023,Public Services and Procurement Canada,Northwest Territories,9
2023,Public Services and Procurement Canada,Nova Scotia,451
2023,Public Services and Procurement Canada,Nunavut,7
2023,Public Services and Procurement Canada,Ontario (minus the NCR),761
2023,Public Services and Procurement Canada,Outside of Canada,4
2023,Public Services and Procurement Canada,Prince Edward Island,154
2023,Public Services and Procurement Canada,Quebec (minus the NCR),1455
2023,Public Services and Procurement Canada,Saskatchewan,53
2023,Public Services and Procurement Canada,Unknown,47
2023,Public Services and Procurement Canada,Yukon,4
2023,RCMP External Review Committee,National Capital Region (NCR),25
2023,Registrar of the Supreme Court of Canada,National Capital Region (NCR),242
2023,Registrar of the Supreme Court of Canada,Unknown,6
2023,Royal Canadian Mounted Police (Civilian Staff),Alberta,978
2023,Royal Canadian Mounted Police (Civilian Staff),British Columbia,1537
2023,Royal Canadian Mounted Police (Civilian Staff),Manitoba,407
2023,Royal Canadian Mounted Police (Civilian Staff),National Capital Region (NCR),3614
2023,Royal Canadian Mounted Police (Civilian Staff),New Brunswick,553
2023,Royal Canadian Mounted Police (Civilian Staff),Newfoundland and Labrador,225
2023,Royal Canadian Mounted Police (Civilian Staff),Northwest Territories,47
2023,Royal Canadian Mounted Police (Civilian Staff),Nova Scotia,329
2023,Royal Canadian Mounted Police (Civilian Staff),Nunavut,21
2023,Royal Canadian Mounted Police (Civilian Staff),Ontario (minus the NCR),300
2023,Royal Canadian Mounted Police (Civilian Staff),Prince Edward Island,48
2023,Royal Canadian Mounted Police (Civilian Staff),Quebec (minus the NCR),272
2023,Royal Canadian Mounted Police (Civilian Staff),Saskatchewan,981
2023,Royal Canadian Mounted Police (Civilian Staff),Unknown,26
2023,Royal Canadian Mounted Police (Civilian Staff),Yukon,48
2023,Secretariat of the National Security and Intelligence Committee of Parliamentarians,National Capital Region (NCR),7
2023,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Unknown,2
2023,Shared Services Canada,Alberta,181
2023,Shared Services Canada,British Columbia,228
2023,Shared Services Canada,Manitoba,103
2023,Shared Services Canada,National Capital Region (NCR),6377
2023,Shared Services Canada,New Brunswick,353
2023,Shared Services Canada,Newfoundland and Labrador,46
2023,Shared Services Canada,Northwest Territories,2
2023,Shared Services Canada,Nova Scotia,160
2023,Shared Services Canada,Nunavut,2
2023,Shared Services Canada,Ontario (minus the NCR),485
2023,Shared Services Canada,Prince Edward Island,86
2023,Shared Services Canada,Quebec (minus the NCR),704
2023,Shared Services Canada,Saskatchewan,31
2023,Shared Services Canada,Unknown,119
2023,Shared Services Canada,Yukon,2
2023,Social Sciences and Humanities Research Council of Canada,National Capital Region (NCR),341
2023,Statistical Survey Operations,Alberta,301
2023,Statistical Survey Operations,British Columbia,64
2023,Statistical Survey Operations,Manitoba,226
2023,Statistical Survey Operations,New Brunswick,20
2023,Statistical Survey Operations,Newfoundland and Labrador,23
2023,Statistical Survey Operations,Northwest Territories,17
2023,Statistical Survey Operations,Nova Scotia,194
2023,Statistical Survey Operations,Nunavut,10
2023,Statistical Survey Operations,Ontario (minus the NCR),528
2023,Statistical Survey Operations,Prince Edward Island,10
2023,Statistical Survey Operations,Quebec (minus the NCR),287
2023,Statistical Survey Operations,Saskatchewan,41
2023,Statistical Survey Operations,Unknown,4
2023,Statistical Survey Operations,Yukon,7
2023,Statistics Canada,Alberta,91
2023,Statistics Canada,British Columbia,66
2023,Statistics Canada,Manitoba,45
2023,Statistics Canada,National Capital Region (NCR),5448
2023,Statistics Canada,New Brunswick,9
2023,Statistics Canada,Newfoundland and Labrador,4
2023,Statistics Canada,Northwest Territories,2
2023,Statistics Canada,Nova Scotia,81
2023,Statistics Canada,Ontario (minus the NCR),200
2023,Statistics Canada,Prince Edward Island,3
2023,Statistics Canada,Quebec (minus the NCR),152
2023,Statistics Canada,Saskatchewan,5
2023,Statistics Canada,Unknown,112
2023,Statistics Canada,Yukon,1
2023,The Correctional Investigator Canada,National Capital Region (NCR),27
2023,The Correctional Investigator Canada,Quebec (minus the NCR),1
2023,The Correctional Investigator Canada,Unknown,8
2023,Transport Canada,Alberta,189
2023,Transport Canada,British Columbia,601
2023,Transport Canada,Manitoba,269
2023,Transport Canada,National Capital Region (NCR),3762
2023,Transport Canada,New Brunswick,233
2023,Transport Canada,Newfoundland and Labrador,94
2023,Transport Canada,Northwest Territories,3
2023,Transport Canada,Nova Scotia,117
2023,Transport Canada,Nunavut,1
2023,Transport Canada,Ontario (minus the NCR),467
2023,Transport Canada,Prince Edward Island,8
2023,Transport Canada,Quebec (minus the NCR),589
2023,Transport Canada,Saskatchewan,19
2023,Transport Canada,Unknown,9
2023,Transport Canada,Yukon,5
2023,Transportation Safety Board of Canada,Alberta,14
2023,Transportation Safety Board of Canada,British Columbia,14
2023,Transportation Safety Board of Canada,Manitoba,9
2023,Transportation Safety Board of Canada,National Capital Region (NCR),131
2023,Transportation Safety Board of Canada,New Brunswick,1
2023,Transportation Safety Board of Canada,Newfoundland and Labrador,2
2023,Transportation Safety Board of Canada,Nova Scotia,11
2023,Transportation Safety Board of Canada,Ontario (minus the NCR),12
2023,Transportation Safety Board of Canada,Quebec (minus the NCR),14
2023,Transportation Safety Board of Canada,Saskatchewan,1
2023,Treasury Board of Canada Secretariat,British Columbia,2
2023,Treasury Board of Canada Secretariat,National Capital Region (NCR),2332
2023,Treasury Board of Canada Secretariat,Unknown,221
2023,Veterans Affairs Canada,Alberta,125
2023,Veterans Affairs Canada,British Columbia,207
2023,Veterans Affairs Canada,Manitoba,147
2023,Veterans Affairs Canada,National Capital Region (NCR),256
2023,Veterans Affairs Canada,New Brunswick,166
2023,Veterans Affairs Canada,Newfoundland and Labrador,56
2023,Veterans Affairs Canada,Nova Scotia,249
2023,Veterans Affairs Canada,Ontario (minus the NCR),456
2023,Veterans Affairs Canada,Outside of Canada,20
2023,Veterans Affairs Canada,Prince Edward Island,1557
2023,Veterans Affairs Canada,Quebec (minus the NCR),365
2023,Veterans Affairs Canada,Saskatchewan,23
2023,Veterans Affairs Canada,Unknown,24
2023,Veterans Review and Appeal Board,Prince Edward Island,77
2023,Veterans Review and Appeal Board,Unknown,36
2023,Western Economic Diversification Canada,Alberta,215
2023,Western Economic Diversification Canada,British Columbia,151
2023,Western Economic Diversification Canada,Manitoba,59
2023,Western Economic Diversification Canada,National Capital Region (NCR),38
2023,Western Economic Diversification Canada,Saskatchewan,53
2023,Western Economic Diversification Canada,Unknown,2
2023,Women and Gender Equality Canada,Alberta,12
2023,Women and Gender Equality Canada,British Columbia,14
2023,Women and Gender Equality Canada,National Capital Region (NCR),414
2023,Women and Gender Equality Canada,New Brunswick,9
2023,Women and Gender Equality Canada,Quebec (minus the NCR),16
2023,Women and Gender Equality Canada,Unknown,3
2024,Accessibility Standards Canada,National Capital Region (NCR),59
2024,Accessibility Standards Canada,Unknown,1
2024,Administrative Tribunals Support Service of Canada,British Columbia,11
2024,Administrative Tribunals Support Service of Canada,National Capital Region (NCR),633
2024,Administrative Tribunals Support Service of Canada,Ontario (minus the NCR),8
2024,Administrative Tribunals Support Service of Canada,Quebec (minus the NCR),12
2024,Administrative Tribunals Support Service of Canada,Unknown,42
2024,Agriculture and Agri-Food Canada,Alberta,529
2024,Agriculture and Agri-Food Canada,British Columbia,241
2024,Agriculture and Agri-Food Canada,Manitoba,630
2024,Agriculture and Agri-Food Canada,National Capital Region (NCR),2321
2024,Agriculture and Agri-Food Canada,New Brunswick,181
2024,Agriculture and Agri-Food Canada,Newfoundland and Labrador,46
2024,Agriculture and Agri-Food Canada,Nova Scotia,130
2024,Agriculture and Agri-Food Canada,Ontario (minus the NCR),426
2024,Agriculture and Agri-Food Canada,Prince Edward Island,85
2024,Agriculture and Agri-Food Canada,Quebec (minus the NCR),541
2024,Agriculture and Agri-Food Canada,Saskatchewan,572
2024,Agriculture and Agri-Food Canada,Unknown,71
2024,Agriculture and Agri-Food Canada,Yukon,1
2024,Atlantic Canada Opportunities Agency,Alberta,1
2024,Atlantic Canada Opportunities Agency,British Columbia,2
2024,Atlantic Canada Opportunities Agency,National Capital Region (NCR),28
2024,Atlantic Canada Opportunities Agency,New Brunswick,298
2024,Atlantic Canada Opportunities Agency,Newfoundland and Labrador,89
2024,Atlantic Canada Opportunities Agency,Nova Scotia,122
2024,Atlantic Canada Opportunities Agency,Prince Edward Island,57
2024,Atlantic Canada Opportunities Agency,Unknown,5
2024,Canada Border Services Agency,Alberta,665
2024,Canada Border Services Agency,British Columbia,1968
2024,Canada Border Services Agency,Manitoba,488
2024,Canada Border Services Agency,National Capital Region (NCR),5916
2024,Canada Border Services Agency,New Brunswick,450
2024,Canada Border Services Agency,Newfoundland and Labrador,88
2024,Canada Border Services Agency,Northwest Territories,3
2024,Canada Border Services Agency,Nova Scotia,292
2024,Canada Border Services Agency,Ontario (minus the NCR),4517
2024,Canada Border Services Agency,Outside of Canada,34
2024,Canada Border Services Agency,Prince Edward Island,6
2024,Canada Border Services Agency,Quebec (minus the NCR),2541
2024,Canada Border Services Agency,Saskatchewan,172
2024,Canada Border Services Agency,Unknown,67
2024,Canada Border Services Agency,Yukon,19
2024,Canada Economic Development for Quebec Regions,National Capital Region (NCR),28
2024,Canada Economic Development for Quebec Regions,Quebec (minus the NCR),348
2024,Canada Energy Regulator,Alberta,561
2024,Canada Energy Regulator,British Columbia,5
2024,Canada Energy Regulator,Quebec (minus the NCR),7
2024,Canada Revenue Agency,Alberta,3436
2024,Canada Revenue Agency,British Columbia,6236
2024,Canada Revenue Agency,Manitoba,4430
2024,Canada Revenue Agency,National Capital Region (NCR),16700
2024,Canada Revenue Agency,New Brunswick,1123
2024,Canada Revenue Agency,Newfoundland and Labrador,2810
2024,Canada Revenue Agency,Nova Scotia,1042
2024,Canada Revenue Agency,Ontario (minus the NCR),13620
2024,Canada Revenue Agency,Prince Edward Island,1501
2024,Canada Revenue Agency,Quebec (minus the NCR),7627
2024,Canada Revenue Agency,Saskatchewan,624
2024,Canada Revenue Agency,Unknown,6
2024,Canada School of Public Service,Alberta,2
2024,Canada School of Public Service,British Columbia,19
2024,Canada School of Public Service,Manitoba,1
2024,Canada School of Public Service,National Capital Region (NCR),529
2024,Canada School of Public Service,New Brunswick,5
2024,Canada School of Public Service,Nova Scotia,3
2024,Canada School of Public Service,Ontario (minus the NCR),21
2024,Canada School of Public Service,Quebec (minus the NCR),32
2024,Canada School of Public Service,Unknown,67
2024,Canadian Dairy Commission,National Capital Region (NCR),74
2024,Canadian Dairy Commission,Unknown,1
2024,Canadian Food Inspection Agency,Alberta,615
2024,Canadian Food Inspection Agency,British Columbia,551
2024,Canadian Food Inspection Agency,Manitoba,317
2024,Canadian Food Inspection Agency,National Capital Region (NCR),1997
2024,Canadian Food Inspection Agency,New Brunswick,404
2024,Canadian Food Inspection Agency,Newfoundland and Labrador,100
2024,Canadian Food Inspection Agency,Nova Scotia,224
2024,Canadian Food Inspection Agency,Ontario (minus the NCR),1173
2024,Canadian Food Inspection Agency,Prince Edward Island,129
2024,Canadian Food Inspection Agency,Quebec (minus the NCR),1096
2024,Canadian Food Inspection Agency,Saskatchewan,224
2024,Canadian Food Inspection Agency,Unknown,3
2024,Canadian Grain Commission,Alberta,4
2024,Canadian Grain Commission,British Columbia,103
2024,Canadian Grain Commission,Manitoba,265
2024,Canadian Grain Commission,National Capital Region (NCR),2
2024,Canadian Grain Commission,Ontario (minus the NCR),26
2024,Canadian Grain Commission,Quebec (minus the NCR),53
2024,Canadian Grain Commission,Saskatchewan,9
2024,Canadian Grain Commission,Unknown,4
2024,Canadian Heritage,Alberta,16
2024,Canadian Heritage,British Columbia,47
2024,Canadian Heritage,Manitoba,34
2024,Canadian Heritage,National Capital Region (NCR),1494
2024,Canadian Heritage,New Brunswick,26
2024,Canadian Heritage,Newfoundland and Labrador,10
2024,Canadian Heritage,Northwest Territories,2
2024,Canadian Heritage,Nova Scotia,12
2024,Canadian Heritage,Ontario (minus the NCR),58
2024,Canadian Heritage,Prince Edward Island,11
2024,Canadian Heritage,Quebec (minus the NCR),61
2024,Canadian Heritage,Saskatchewan,11
2024,Canadian Heritage,Unknown,145
2024,Canadian Heritage,Yukon,2
2024,Canadian Human Rights Commission,Alberta,1
2024,Canadian Human Rights Commission,British Columbia,3
